,gene_Her2_x,score_Her2_x,gene_Her2_y,score_Her2_y
13654,KIF19,0.5277697615155291,KIF19,0.5277697615155291
13655,NXPE1,0.5277370312411115,NXPE1,0.5277370312411115
13656,SLC51B,0.5277330277848453,SLC51B,0.5277330277848453
13657,MAPK8IP1P2,0.5277319535348441,MAPK8IP1P2,0.5277319535348441
13658,MYO1F,0.5277066685888501,MYO1F,0.5277066685888501
13659,MARF1,0.5276955189275777,MARF1,0.5276955189275777
13660,NTSR2,0.5276719188685548,NTSR2,0.5276719188685548
13661,ZNF41,0.5276716708899066,ZNF41,0.5276716708899066
13662,BREA2,0.5276354433419923,BREA2,0.5276354433419923
13663,GOLGA8F,0.5275868865131634,GOLGA8F,0.5275868865131634
13664,RRP7A,0.527578531009621,RRP7A,0.527578531009621
13665,DKFZp547H074,0.5275618140474082,DKFZp547H074,0.5275618140474082
13666,SPACA4,0.5275326677200953,SPACA4,0.5275326677200953
13667,KRT33A,0.5275309619132874,KRT33A,0.5275309619132874
13668,NAP1L2,0.5275303001748459,NAP1L2,0.5275303001748459
13669,SYT14,0.5275102929481326,SYT14,0.5275102929481326
13670,PEAK3,0.5274616619209255,PEAK3,0.5274616619209255
13671,ABCA17P,0.527451154954587,ABCA17P,0.527451154954587
13672,STAG1,0.5274466889583037,STAG1,0.5274466889583037
13673,ZNF561,0.5274006141588219,ZNF561,0.5274006141588219
13674,OR2B6,0.5273776033284252,OR2B6,0.5273776033284252
13675,TRO,0.5273733528552595,TRO,0.5273733528552595
13676,PBX4,0.5273473950247487,PBX4,0.5273473950247487
13677,PSMC5,0.5272972295954237,PSMC5,0.5272972295954237
13678,OR2AK2,0.5272554430679194,OR2AK2,0.5272554430679194
13679,GPR55,0.5272136262545818,GPR55,0.5272136262545818
13680,HS3ST4,0.5272114798788309,HS3ST4,0.5272114798788309
13681,PWWP2A,0.5271989132757559,PWWP2A,0.5271989132757559
13682,TET2,0.5271520740907186,TET2,0.5271520740907186
13683,AGPAT2,0.5271461388448347,AGPAT2,0.5271461388448347
13684,PPP6C,0.5271373640591603,PPP6C,0.5271373640591603
13685,SYNRG,0.5271279324835686,SYNRG,0.5271279324835686
13686,OR2F1,0.5271053933157956,OR2F1,0.5271053933157956
13687,ODF3B,0.5270858364865457,ODF3B,0.5270858364865457
13688,CDY2A,0.5270620596797114,CDY2A,0.5270620596797114
13689,ASIC2,0.5270145442161669,ASIC2,0.5270145442161669
13690,CACNB1,0.5269947264743204,CACNB1,0.5269947264743204
13691,SAMD12,0.5269834596529342,SAMD12,0.5269834596529342
13692,C18orf32,0.5269708592410194,C18orf32,0.5269708592410194
13693,SPATA46,0.5269233441651643,SPATA46,0.5269233441651643
13694,GLCE,0.5269138534329472,GLCE,0.5269138534329472
13695,BC113726,0.5269107837158615,BC113726,0.5269107837158615
13696,OR6F1,0.5268517650353559,OR6F1,0.5268517650353559
13697,TTC12,0.5268389362730856,TTC12,0.5268389362730856
13698,SNX22,0.5268303005953799,SNX22,0.5268303005953799
13699,GRXCR2,0.5268101746962931,GRXCR2,0.5268101746962931
13700,FLJ44385,0.5267969753315046,FLJ44385,0.5267969753315046
13701,TEX19,0.5267959366916499,TEX19,0.5267959366916499
13702,SNHG10,0.5267796505847493,SNHG10,0.5267796505847493
13703,DNAJC22,0.5267743702206316,DNAJC22,0.5267743702206316
13704,BAG1,0.526764738679386,BAG1,0.526764738679386
13705,LINC00029,0.5267622694702554,LINC00029,0.5267622694702554
13706,CXorf24,0.5266996260327877,CXorf24,0.5266996260327877
13707,OR51E2,0.526673128180875,OR51E2,0.526673128180875
13708,CCM2,0.526639619864063,CCM2,0.526639619864063
13709,PDE8B,0.5266138200095825,PDE8B,0.5266138200095825
13710,CIDEB,0.5265948119433878,CIDEB,0.5265948119433878
13711,SOWAHD,0.5265786003578296,SOWAHD,0.5265786003578296
13712,ZNF300,0.526566813573826,ZNF300,0.526566813573826
13713,RPS6KA2,0.5265555341150501,RPS6KA2,0.5265555341150501
13714,CNR2,0.5265440386246463,CNR2,0.5265440386246463
13715,PDPN,0.5265331194780198,PDPN,0.5265331194780198
13716,LRRFIP2,0.5264991626386701,LRRFIP2,0.5264991626386701
13717,AKR1C6P,0.5264822704521374,AKR1C6P,0.5264822704521374
13718,LOXHD1,0.5264707731051304,LOXHD1,0.5264707731051304
13719,LYNX1,0.5264674335378949,LYNX1,0.5264674335378949
13720,SMOC1,0.5264672325417231,SMOC1,0.5264672325417231
13721,ADAM19,0.5264111711888217,ADAM19,0.5264111711888217
13722,KCNIP1,0.5264026299234734,KCNIP1,0.5264026299234734
13723,SIN3A,0.526378669394611,SIN3A,0.526378669394611
13724,LOC729860,0.5263451637271713,LOC729860,0.5263451637271713
13725,PRTN3,0.5263363570226339,PRTN3,0.5263363570226339
13726,ECHDC3,0.5263350078014282,ECHDC3,0.5263350078014282
13727,THEM5,0.5263042445911535,THEM5,0.5263042445911535
13728,SCARA5,0.5263002410471697,SCARA5,0.5263002410471697
13729,NEFH,0.5262830623181849,NEFH,0.5262830623181849
13730,ETAA1,0.5262809806766491,ETAA1,0.5262809806766491
13731,TEX13A,0.5262588626889848,TEX13A,0.5262588626889848
13732,HYAL1,0.5261934961959275,HYAL1,0.5261934961959275
13733,RPS25,0.526193410897433,RPS25,0.526193410897433
13734,GVINP1,0.5261929047674864,GVINP1,0.5261929047674864
